text,label,prelabel,notes
"Doncic in response to trash talk (only taking the last two weeks into consideration): ""you know that's not true""",reaction,reaction,
"They are. They can’t use the MLE anymore, can’t trade any first round picks 67 years out, and can’t aggregate salaries in trades. That’s why they’re trying to lock the entire core down now",breakdown,breakdown,
I know. The numbers are just hilarious when you actually look at them,reaction,reaction,
"Aside from the fact I admitted it each time, sure. I’ll give you the win because you need one in this exchange, and I know you’re avoiding the broader point that your position is the one primarily held by only Celtics homers, while mine is held by sixers homers, yes, but also basically all of the nba landscape. I wonder which one of those two is more likely correct",take,take,
Let them eat Churros,reaction,reaction,
Do you understand what bitch means and where it comes from? We don't condone racism in calling people the n-word so why should we condone calling women bitch?,take,take,
Wants to be a Warrior for life? That’s a paddlin’,reaction,reaction,
No. Definely not negative defender. He was very serviceable and was competitive on the defensive side of the ball.,take,take,
you think previous FMVPs cannibalized their team's players? LOL Jaylen probably has one of the lowest assist averages of previous FMVP too,take,take,take vs breakdown: cites 'lowest assist avg' but stat is vague/decorative -> take
"Maybe not a star but between another top 3 pick (probably), Cade, Jalen and 60 mill in cap space, they should at least be able to improve from this season and win 30-35 games next season",breakdown,breakdown,
Bronny has killed it at every stop except one where he had a HEART ATTACK to start the season. Yet this sub only cares about that one.,take,take,
"And he would be the independent doctor in this scenario for the athletes he actually examined. He's not the ""independent doctor"" for athletes he never examined, which is the case for all athletes he's talking about on twitter since he wouldn't be talking about them if they were his patients.",take,take,
"Son. It’s ok to accept that your team, the nets, are dog food tomato can fodder for the likes of the Celtics. It’s ok to accept that Tatum has sent the nets into irrelevance. You just have to wait 10-15 more years for the next best shot. Be patient. Allow Tatum to have his reign. Time for bed son",reaction,reaction,
Bigger foul baiter than SGA,take,take,
"2 times more than 449 other NBA players. He had a right to be mad, but he doesn't handle these situations in the best way.",take,take,
"Durant joined a team that had set the wins record on the back of Curry's brilliance. Durant's playoff TS% jumped 12 points when he left OKC and went to the Warriors, and the two highest marks in his career are next to Curry. Basketball isn't defined by awards voting.",breakdown,breakdown,
"Murphy played a lot more minutes than Hayes. The ""bad"" results have been that we have some of the best player development in the league. Criticize Willie and the org for other stuff, but how he handles rookies ain't it.",breakdown,breakdown,
A friendly reminder that this exact top 5 +Mason Plumlee + Kelly Oubre made the play-ins two seasons ago. This team is a mindfuck,take,take,"take vs breakdown: real historical roster fact, but conclusion is a vibe ('mindfuck') -> take"
"Most Sixers fan’s in our sub are beginning to lose a lot of the love we had for Morey. It’s just we’ve been so mismanaged since there mid 2010s, we’ll take even a theoretically competent GM",take,take,
Needs to be banned to be honest. This is just astroturfing,take,take,
"flair up, buttercup",reaction,reaction,
And you would be sincerely wrong if you don't think the lakers fanbase wouldn't be pissed the fuck off. And they would be right to be so.,take,take,
No he doesn't...,reaction,reaction,
The knee burns outch,reaction,reaction,
Him and Draymond follow the same defensive tactic for 3's I see,take,take,
Lmao for a split second I forgot about that accidental renaissance painting of a moment.,reaction,reaction,
"Even a team like Charlotte would greatly benefit from him. San Antonio could have one of the best frontcourt defenses of all time with him and Wemby. Plus Draymonds playmaking would be huge need filled for them. The only argument to make would be that Draymond would have struggled at first and not given the chance on teams in the landscape of 2012-2013 basketball. But in todays game, he honestly makes a big impact on most teams.",breakdown,breakdown,
It was such a dumb decision to begin with. You don't solve a problem by creating another one. The only players it hurts are the ones trying to be an MVP or All Team NBA. Plenty of other players that can still load manage that don't care or have no chance of winning those things. You solve load management by changing the amount of games. We already have judges to decide who wins the awards. The awards should go to the best player. How many games they play was already a factor. This was really dumb and someone is going to be an MVP with a giant asterisk.,take,take,
This package that is reported for Bogdan Bogdanovic would be interesting. He's the frontrunner for 6MOY right now but the Hawks are going nowhere and he's a vet so might be available.,breakdown,breakdown,
Not to the guy that scores his 1st point in the nba,reaction,reaction,
Lmao going to rings alr. Just answer the fking question. The answer that everyone knows,reaction,reaction,
What could have been. He was so fun to watch,reaction,reaction,
"he got them to the eastern conference finals, but otherwise they've been pretty mediocre with him as the main guy.",take,take,
"[ In the 2015-16 season, he ran 2.46 miles per game on average. This season, 2.44.",breakdown,breakdown,
Huge upgrade getting him off the panel,take,take,
"Eh he was sliding and didn’t hit the defender square at the point of contact. It’s a moving screen lol. The tech is more upsetting because although it’s pretty much an automatic first tech to cuss the ref out and point at him, it’s a soft tech that results in an ejection. Usually refs give more of a leash to players if they’re one tech away from disqualification. We see that pretty often. That said though, Deandre’s got to know he’s not the level of player anymore that is above a soft ejection.",breakdown,breakdown,
When they come back to Denver the first time.,reaction,reaction,
we have 54 and they have 55 This level of pettiness will never be reached ever again. Do it.,reaction,reaction,
"Look, look at the stats of my one-man-shows! Every ball goes through them. They canibalize every other team player in the process but glorious MVP titles are strong with them. They are amazing players but people sometimes forget, this is team sport and players should be evaluated by their contribution to the team, not for their own careers statistics.",take,take,
Parks & Rec Legend Detlef Schrempf.,reaction,reaction,
"FVV is a 2 year deal, that’s why it’s so high. He would not get 40M+ on a 4 year deal. Pascal is a true max level player, someone who has made All NBA",breakdown,breakdown,
They’re both great passers but Haliburton is at a completely different level as a shoote.,take,take,
"Because I think that the Pacers thought they had the game ball and started taunting Giannis, not realizing they had the reserve ball and the Bucks coaching staff has the real game ball.",take,take,
I mean hey i can support you on that one lol,reaction,reaction,
I haven't even the tweet and don't even plan to see it lmao,reaction,reaction,
"He is half Norwegian, half Mexican.",reaction,reaction,
Guess he's not really about it then,reaction,reaction,
"With Ayton, it’s not that he’s a bad player, he just leaves you wanting more. 7’ with a 7’5.5” wingspan, 245lbs, strong/athletic build, very fluid/coordinated, excellent midrange game for a centre, and he does have some of the skills that normally lead to a strong post game, shows impressive footwork and a nice hook shot at times. The tools are there to be an elite centre, but instead he’s just a solid but unspectacular starter most of the time. Too often he settles for middies instead of taking it hard to the basket or abusing guys in the post, he gets smaller players switched onto him then d",breakdown,breakdown,
"Harden and DD would actually help them get to the playoffs tho, that should be the goal now. Out they’re doing right now is an embarrassment",take,take,
Someone with last name butler was injured,reaction,reaction,
"I actually believe Randle would allow a Knicks vs. Celtics series to be closer than one would think. Randle can create a shot for himself and makes it so opposing defenses can not fully load up on Brunson like we've seen this playoffs. Assuming no injuries, Randle at the 4 allows OG to be at the 3 and allows Hart to come off the bench. This alone is huge because OG causes way more havoc at the 3 from what we've seen during the Knicks January 14-2 run. Again, this wasn't the case but the Knicks fought with what they had. Can only hope for a full squad next season.",breakdown,breakdown,
Zach LaVine/Butle is a weird fit,take,take,
He’s locked & loaded baby.,reaction,reaction,
"Even if LeBron signed with the Warriors this offseason for the TPMLE, the Warriors still wouldn't be contenders. Steph, washed Klay, 39YO LeBron, Draymond and Looney are still losing to Jokic",take,take,
"Thank you for running the numbers, that is crazy efficiency. It's obnoxious that OP mostly just uses FG% with no mention of actual efficiency despite it being the title of the post.",take,take,take vs breakdown: argues about efficiency methodology but offers no numbers of its own -> take
"Was a net +21 in this game, tied for the highest. Impressive.",breakdown,breakdown,
I ain’t faulting the Pacers at all they had a fantastic game. I’m just saying the experts probably would’ve picked them if they had the knowledge of who would be hurt.,take,take,
Houston isn't a larger market?,reaction,reaction,
Man this makes the Giannis injury sting even more,reaction,reaction,
Huh? Lebron is on the Lakers so how is that weird? lol Fans talk about their players. There’s a video on this sub somewhere showing all the fouls Giannis got See how you singled out Giannis over everyone else listed in the post?,take,take,
Well your original comment was just flat out wrong. It also wasn’t “Krauses Memorial” but a ceremony honoring the 90s Bulls teams. Krause feuded with the players and hated Jackson. He broke apart a team coming off their second three peat due to giant ego. So yea the fans were right to be pissed at him,breakdown,breakdown,
We wouldn't have gotten Ant if the trade didn't go exactly the way it did. The hypothetical is moot,take,take,
I mean… he won a title with this strategy. Can you blame him?,take,take,
Love to see people who understand this.,reaction,reaction,
Morey reminds me of Rawls in season 1 of the wire asking Jimmy where he doesn’t want to go and sends him there after the major crime unit wraps up the case.,reaction,reaction,
hasn't he been kinda bad in Greensboro lol,reaction,reaction,
OG and heyward should have a competition to see who can get the oddest injury,reaction,reaction,
This game is amazing,reaction,reaction,
"I was a Monty-Stan for a minute there, mostly because I thought he was right about Ayton being a massive bitch but over the years the veil has been lifted. I mean he was right about Ayton but he seems to treat some players like shit and call it “tough love” but it just doesn’t work.",take,take,
